",""Ano"",""UF"",""Município"",""Região"",""Código Programa"",""Programa Fomento"",""IES"",""Status Jurídico"",""Programa"",""Área Avaliação"",""Área Conhecimento"",""Grande Área"",""Codigo IES"",""Coordenador Geral IsF"",""Coordenador Pedagógico IsF"",""DOUTORADO PLENO"",""Iniciação Científica"",""JOVENS TALENTOS - A"",""JOVENS TALENTOS - B"",""MESTRADO"",""MESTRADO PROFISSIONAL"",""PESQUISADOR VISITANTE ESPECIAL"",""PROF VISITANTE NACIONAL SÊNIOR"",""PROFESSOR VISITANTE EXTERIOR PLENO"",""PROFESSOR VISITANTE EXTERIOR SENIOR"",""Professor IsF"",""PÓS-DOUTORADO"",""Total Linha"""
"1,2018,""AC"",""RIO BRANCO"",""NORTE"",NA,""DS"",""UFAC"",""Federal"",NA,""INDEFINIDA"",""Grande Area Não Informada"",""Grande Area Não Informada"",""11001011"",0,0,1,0,0,0,38,0,0,0,0,0,0,0,39"
"2,2018,""AC"",""RIO BRANCO"",""NORTE"",NA,""ISF"",""UFAC"",""Federal"",NA,""INDEFINIDA"",""Grande Area Não Informada"",""Grande Area Não Informada"",""11001011"",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1"
"3,2018,""AC"",""RIO BRANCO"",""NORTE"",NA,""PROCAD"",""UFAC"",""Federal"",NA,""INDEFINIDA"",""Grande Area Não Informada"",""Grande Area Não Informada"",""11001011"",0,0,0,6,0,0,0,0,0,0,0,0,0,0,6"
"4,2018,""AC"",""RIO BRANCO"",""NORTE"",NA,""PVNS"",""UFAC"",""Federal"",NA,""INDEFINIDA"",""Grande Area Não Informada"",""Grande Area Não Informada"",""11001011"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1"
"5,2018,""AC"",""RIO BRANCO"",""NORTE"",""11001011001P8"",""DS"",""UFAC"",""Federal"",""ECOLOGIA E MANEJO DE RECURSOS NATURAIS"",""INDEFINIDA"",""ECOLOGIA"",""CIÊNCIAS BIOLÓGICAS"",""11001011"",0,0,0,0,0,0,8,0,0,0,0,0,0,0,8"
"6,2018,""AC"",""RIO BRANCO"",""NORTE"",""11001011001P8"",""PNPD"",""UFAC"",""Federal"",""ECOLOGIA E MANEJO DE RECURSOS NATURAIS"",""INDEFINIDA"",""ECOLOGIA"",""CIÊNCIAS BIOLÓGICAS"",""11001011"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"7,2018,""AC"",""RIO BRANCO"",""NORTE"",""11001011003P0"",""DS"",""UFAC"",""Federal"",""LETRAS- LINGUAGEM E IDENTIDADE"",""INDEFINIDA"",""LETRAS"",""LINGÜÍSTICA, LETRAS E ARTES"",""11001011"",0,0,0,0,0,0,17,0,0,0,0,0,0,0,17"
"8,2018,""AC"",""RIO BRANCO"",""NORTE"",""11001011003P0"",""PNPD"",""UFAC"",""Federal"",""LETRAS- LINGUAGEM E IDENTIDADE"",""INDEFINIDA"",""LETRAS"",""LINGÜÍSTICA, LETRAS E ARTES"",""11001011"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"9,2018,""AC"",""RIO BRANCO"",""NORTE"",""11001011004P7"",""DS"",""UFAC"",""Federal"",""PRODUÇÃO VEGETAL"",""INDEFINIDA"",""AGRONOMIA"",""CIÊNCIAS AGRÁRIAS"",""11001011"",0,0,18,0,0,0,9,0,0,0,0,0,0,0,27"
"10,2018,""AC"",""RIO BRANCO"",""NORTE"",""11001011004P7"",""FAPAC"",""UFAC"",""Federal"",""PRODUÇÃO VEGETAL"",""INDEFINIDA"",""AGRONOMIA"",""CIÊNCIAS AGRÁRIAS"",""11001011"",0,0,7,0,0,0,0,0,0,0,0,0,0,0,7"
"11,2018,""AC"",""RIO BRANCO"",""NORTE"",""11001011004P7"",""PGPSE"",""UFAC"",""Federal"",""PRODUÇÃO VEGETAL"",""INDEFINIDA"",""AGRONOMIA"",""CIÊNCIAS AGRÁRIAS"",""11001011"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1"
"12,2018,""AC"",""RIO BRANCO"",""NORTE"",""11001011005P3"",""DS"",""UFAC"",""Federal"",""SAÚDE COLETIVA"",""INDEFINIDA"",""SAÚDE COLETIVA"",""CIÊNCIAS DA SAÚDE"",""11001011"",0,0,1,0,0,0,1,0,0,0,0,0,0,0,2"
"13,2018,""AC"",""RIO BRANCO"",""NORTE"",""11001011005P3"",""PROCAD"",""UFAC"",""Federal"",""SAÚDE COLETIVA"",""INDEFINIDA"",""SAÚDE COLETIVA"",""CIÊNCIAS DA SAÚDE"",""11001011"",0,0,0,2,0,0,0,0,0,0,0,0,0,0,2"
"14,2018,""AC"",""RIO BRANCO"",""NORTE"",""11001011006P0"",""DS"",""UFAC"",""Federal"",""Ciência, Inovação e Tecnologia para a Amazônia"",""INDEFINIDA"",""INTERDISCIPLINAR"",""MULTIDISCIPLINAR"",""11001011"",0,0,0,0,0,0,19,0,0,0,0,0,0,0,19"
